# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	3813
#@/user_id	3b9f0210-6f77-41af-a981-a384e697813f
bu xi huan 	不喜歡	c=1 d=0.995012 t=3813
bu xi wang 	不希望	c=1 d=0.203926 t=3813
bu xiang 	不想	c=2 d=0.271173 t=3813
bu xing 	不行	c=1 d=0.546074 t=3813
bu xu 	不虛	c=1 d=0.00514361 t=3813
bu yong 	不用	c=1 d=0.115325 t=3813
bu zhi 	不知	c=1 d=0.187308 t=3813
bu zhi dao 	不知道	c=1 d=0.657047 t=3813
bu zhu 	不住	c=2 d=0.531599 t=3813
bu zu 	不足	c=2 d=0.97531 t=3813
cai 	才	c=6 d=0.57695 t=3813
cai hui 	纔會	c=3 d=0.526715 t=3813
cai neng 	才能	c=1 d=1 t=3412
cai shi 	纔是	c=1 d=1 t=3218
can jia 	參加	c=2 d=0.0992613 t=3813
can xue 	殘血	c=1 d=1 t=2652
cao 	草	c=2 d=0.114178 t=3813
cao cao 	曹操	c=1 d=1 t=2251
cao cao 	草草	c=1 d=1 t=2447
cao zong 	操縱	c=1 d=1 t=3449
cao zuo 	操作	c=2 d=1.21625 t=3813
ce mian 	側面	c=1 d=1 t=2906
ce shi 	測試	c=1 d=0.0051953 t=3813
ceng 	層	c=1 d=0.0049667 t=3813
ceng 	曾	c=1 d=1 t=3150
ceng shuo guo 	層說過	c=1 d=1 t=3149
cha 	叉	c=1 d=0.299692 t=3813
cha 	差	c=1 d=0.180866 t=3813
cha dian 	差點	c=1 d=1 t=2560
cha ju 	差距	c=1 d=0.985112 t=3813
cha jue 	察覺	c=1 d=0.946485 t=3813
chan sheng 	產生	c=1 d=0.274645 t=3548
chang da 	長大	c=0 d=0.1 t=3295
chang da le 	長大了	c=1 d=1 t=3296
chang shi 	嘗試	c=1 d=1 t=3680
chang shi 	常時	c=1 d=1 t=2612
chang shuo 	常說	c=2 d=1.0973 t=3531
chang tai 	常態	c=1 d=1 t=3399
chang yong 	常用	c=1 d=1 t=2671
che 	車	c=1 d=0.106992 t=3813
chen 	陳	c=1 d=0.213312 t=3813
chen xi zhi 	陳習之	c=1 d=0.214381 t=3813
cheng 	成	c=1 d=0.588605 t=3813
cheng 	承	c=3 d=2.09175 t=2930
cheng dao 	撐到	c=1 d=0.436049 t=3813
cheng gong 	成功	c=4 d=1.86157 t=2318
cheng guo 	成果	c=1 d=0.0151463 t=3813
cheng jiu 	成就	c=1 d=1 t=3082
cheng nian 	成年	c=3 d=0.597006 t=3813
cheng ren 	承認	c=1 d=1 t=3635
cheng shi 	城市	c=1 d=1 t=3052
cheng wei 	成爲	c=3 d=1.00036 t=3803
cheng xing 	成型	c=2 d=0.86692 t=3813
cheng yao jin 	程咬金	c=1 d=1 t=2505
cheng zhang 	成長	c=1 d=1 t=3087
chi 	吃	c=2 d=0.287941 t=3813
chi mao 	吃矛	c=1 d=1 t=2709
chong 	充	c=1 d=0.0916297 t=3813
chong fan 	重返	c=1 d=1 t=2180
chong hui 	重回	c=1 d=1 t=3518
chong man 	充滿	c=2 d=1.94176 t=2696
chong tu 	衝突	c=1 d=1 t=2205
chong xin 	重新	c=2 d=1.01128 t=3805
